2023-06-16 08:16:35,609 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 1.2926735508255818e-05 None
2023-06-16 08:16:35,611 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 6.17373687216002e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,611 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 6.17373687216002e-05 None
2023-06-16 08:16:35,615 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0006424683541986001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,615 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0006424683541986001 None
2023-06-16 08:16:35,617 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0019375155465473485 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,618 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0019375155465473485 None
2023-06-16 08:16:35,619 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 1.390257034887826e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,619 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 1.390257034887826e-05 None
2023-06-16 08:16:35,624 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 1.0959753543167129e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,624 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 1.0959753543167129e-05 None
2023-06-16 08:16:35,624 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0007298418575333249 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,624 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0007298418575333249 None
2023-06-16 08:16:35,628 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 4.841416138973567e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,628 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 4.841416138973567e-05 None
2023-06-16 08:16:35,633 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0016242412893799018 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,633 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0016242412893799018 None
2023-06-16 08:16:35,635 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0006886531689245179 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,635 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0006886531689245179 None
2023-06-16 08:16:35,639 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0013410081854937355 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,639 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0013410081854937355 None
2023-06-16 08:16:35,645 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.06165002361524233 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,645 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.06165002361524233 None
2023-06-16 08:16:35,649 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 2.394026603853304e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,649 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 2.394026603853304e-05 None
2023-06-16 08:16:35,651 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 1.0488756019788822e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,651 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 1.0488756019788822e-05 None
2023-06-16 08:16:35,657 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.000728768140259911 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,657 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.000728768140259911 None
2023-06-16 08:16:35,658 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.007161500441493863 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,658 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.007161500441493863 None
2023-06-16 08:16:35,663 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0006599860287420617 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,667 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0006599860287420617 None
